"","outd","NoInt:0.75","CI_HQ_SD:0.75","PC_CI_SD:0.75","PC_CI_HQ_SD:0.75","NoInt:0.5","CI_HQ_SD:0.5","PC_CI_SD:0.5","PC_CI_HQ_SD:0.5","NoInt:0.25","CI_HQ_SD:0.25","PC_CI_SD:0.25","PC_CI_HQ_SD:0.25"
"115",114,49283.5,45132.8,42520.3,42506.4,49283.5,45132.8,42520.3,42506.4,49283.5,45132.8,42520.3,42506.4
"116",115,56444.7,49524.3,45421.2,45426.5,56444.7,49524.3,45421.2,45426.5,56444.7,49524.3,45421.2,45426.5
"117",116,64492.9,53904.5,47869.2,47790.1,64492.9,53904.5,47869.2,47790.1,64492.9,53904.5,47869.2,47790.1
"118",117,73630.1,58095,49798.4,49602.6,73630.1,58095,49798.4,49602.6,73630.1,58095,49798.4,49602.6
"119",118,83890.9,62190.8,51125.8,50797,83890.9,62190.8,51125.8,50797,83890.9,62190.8,51125.8,50797
"120",119,95373.8,65963.7,51733.4,51293.2,95373.8,65963.7,51733.4,51293.2,95373.8,65963.7,51733.4,51293.2
"121",120,108318.3,69537.6,51727,51111.4,108318.3,69537.6,51727,51111.4,108318.3,69537.6,51727,51111.4
"122",121,122851.8,72797.1,51115.1,50309.1,122851.8,72797.1,51115.1,50309.1,122851.8,72797.1,51115.1,50309.1
"123",122,139260.7,75988.9,50133.3,49063.9,139260.7,75988.9,50133.3,49063.9,139260.7,75988.9,50133.3,49063.9
"124",123,157606.7,79075.4,49005.7,47630.7,157606.7,79075.4,49005.7,47630.7,157606.7,79075.4,49005.7,47630.7
"125",124,178310.7,82082.6,47740.2,46009.5,178310.7,82082.6,47740.2,46009.5,178310.7,82082.6,47740.2,46009.5
"126",125,201617.2,85134.7,46426.5,44290.4,201617.2,85134.7,46426.5,44290.4,201617.2,85134.7,46426.5,44290.4
"127",126,227609.2,88180.9,45031.5,42553.6,227609.2,88180.9,45031.5,42553.6,227609.2,88180.9,45031.5,42553.6
"128",127,256669.4,91352.8,43596,40793,256669.4,91352.8,43596,40793,256669.4,91352.8,43596,40793
"129",128,289174.5,94358.7,42164.1,39063.8,289174.5,94358.7,42164.1,39063.8,289174.5,94358.7,42164.1,39063.8
"130",129,324066,97117.1,40778.3,37302.2,324066,97117.1,40778.3,37302.2,324066,97117.1,40778.3,37302.2
