"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"383",382,0,0,34.6,33.4,78.4,61,0,0.8,491.4,32.3,35.8,260.9,0,0,14.3,1124.4,4924.2,28.5,0,0.7,14538.7,169.9,743.6,6362.3,0,0,3.4,29744,58032.2,7.2,0,0.3,47230.8,5903.1,38902.4,44294.4,0,0,1.1,169935.3,21240.5,2.3,0,0,32469.2,163309.7,428635.6,95521.7
"384",383,0,0,32.2,30.1,75,59.8,0,1,475.6,31.3,33.2,245.2,0,0,13.3,1048.6,4706.5,27.7,0,0.8,13984.6,152.8,661.1,5968.1,0,0,3.3,27836.2,57235.5,6.5,0,0.5,46405,5249.7,34817.2,42236.9,0,0,1.1,169954.6,21994.7,2.4,0,0,33364.3,149045.6,419919.8,96185.9
"385",384,0,0,31.5,27.3,69.5,59.2,0,0.8,454.7,29.5,30.8,233.8,0,0,13.9,961.2,4481.3,26.5,0,0.7,13438.8,135.1,575.7,5600.3,0,0,3.1,26032,56467.6,6.2,0,0.6,45690.5,4658.8,31137.3,40266.4,0,0,1,169477.2,22760.9,2.1,0,0,34184.3,135754.3,409538.3,96619.5
"386",385,0,0,30.4,25.9,64.5,57.5,0,0.9,434,25.8,25.8,220.9,0,0,13.7,893.9,4263,24.6,0,0.5,12906.3,119.9,515.3,5232.2,0,0,3.3,24348.7,55599.3,6.2,0,0.5,44896.5,4130.3,27824.4,38331,0,0,1,168706.5,23528.9,1.9,0,0,35078.5,123420.9,397457.7,96931.1
"387",386,0,0,29.8,24.6,60.4,56.7,0,0.7,412.1,23.7,23.5,210.8,0,0,13.2,831.5,4060.7,22.4,0,0.5,12388.4,109.2,455.4,4915,0,0,3,22780.1,54726.4,5.7,0,0.7,44093.8,3681.9,24825,36506.3,0,0,0.9,167631.3,24298.2,2,0,0,35922.7,111911.9,383990,97062.3
"388",387,0,0,30,22.6,57.7,57.2,0,0.7,397.8,23.1,21.3,200.3,0,0,13,769.6,3879.2,21.7,0,0.6,11918.9,98.2,407.2,4617.3,0,0,2.8,21335,53863.1,5.5,0,0.7,43286.8,3276,22145.8,34675.7,0,0,0.8,166117.4,25130.1,2,0,0,36729.2,101238.4,369288.8,97092.1
"389",388,0,0,29.9,20.6,54.2,54.3,0,0.8,381.5,22.1,17.8,190.1,0,0,12.8,705.4,3711.8,20.6,0,0.5,11441.3,85.8,364.1,4339.1,0,0,2.8,19983.3,52957.8,5.1,0,0.9,42371.4,2914.4,19682.7,32928.5,0,0,0.8,164264.8,25979.5,1.8,0,0,37576.6,91355.7,353782.9,96958.7
"390",389,0,0,29.2,19.2,49.8,53,0,0.8,361.9,21,17,180.9,0,0,12.5,658.9,3547.5,18.9,0,0.4,10969.8,78.3,320.8,4072.7,0,0,2.8,18715.4,52025.5,5.4,0,0.8,41491.6,2577.4,17520.1,31259.3,0,0,0.7,161952.5,26851.3,1.7,0,0,38439.3,82386.9,337622.1,96548
"391",390,0,0,29.4,17.7,48,51.4,0,0.8,351.9,19.2,15.3,167.1,0,0,12,610.9,3382.1,19.6,0,0.3,10520.1,70.3,288.7,3832.6,0,0,2.8,17517.3,51075.1,5.3,0,0.8,40514.3,2300.2,15614.7,29683.5,0,0,0.7,159366.2,27689.8,1.4,0,0,39267.3,74282.7,320929.4,96135.6
"392",391,0,0,27.9,16.6,45.1,49.5,0,0.5,338.5,17.1,13.5,160.7,0,0,11.8,573.3,3236.9,19.9,0,0.2,10105.4,62,257.7,3605.1,0,0,2.8,16363.6,50081.1,5,0,0.7,39660.5,2030.1,13912.4,28116.9,0,0,0.8,156568,28581.7,1.2,0,0,40064.7,66735.4,303783.1,95441.4
