"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"490",489,0,0,0.3,0.1,0.8,1.5,0,0,14.1,0,0,2.8,0,0,0.5,1.3,75.5,1,0,0,129.5,0,0,16.1,0,0,0.2,37.9,2491.9,0,0,0,858.6,0,0.2,128.9,0,0,0,838.7,20251.4,0.3,0,0,6676.7,5.5,23.1,1701.1
"491",490,0,0,0.4,0.1,0.8,1.3,0,0,13.9,0,0,2.7,0,0,0.5,1.3,73.9,1,0,0,126.8,0,0,14.8,0,0,0.2,35.6,2402.7,0,0,0,818.7,0,0.2,118.6,0,0,0,779.4,19922.8,0.3,0,0,6441.4,5.1,20.1,1609.5
"492",491,0,0,0.4,0.1,1.1,1.3,0,0,13.8,0,0,1.8,0,0,0.6,1,72.2,1,0,0,121.2,0,0,13.4,0,0,0.2,33.5,2304.4,0,0,0,780.2,0,0.1,109.5,0,0,0,727.4,19574.8,0.2,0,0,6238.9,4.5,18.5,1519.6
"493",492,0,0,0.4,0.1,1.2,1.2,0,0,13.9,0.1,0,1.6,0,0,0.6,0.6,71.3,1.2,0,0,115.5,0,0,12.6,0,0,0.1,30.5,2228.4,0,0,0,742.1,0,0.1,102.2,0,0,0,678.3,19210.1,0.2,0,0,6025.5,4.3,15.2,1433.9
"494",493,0,0,0.5,0.1,1.2,1.2,0,0,13.5,0.1,0,1.6,0,0,0.6,0.5,68.6,1.3,0,0,109.2,0,0,12.2,0,0,0.1,27.7,2139.5,0,0,0,709.6,0,0.1,94.3,0,0,0,634.9,18849.2,0.2,0,0,5813,3.8,13.5,1349.7
"495",494,0,0,0.5,0,1.1,1.1,0,0,13.4,0.1,0,1.4,0,0,0.6,0.3,64.8,1.3,0,0,104.5,0,0,10.5,0,0,0.1,25,2056,0,0,0,679.7,0,0.1,87.9,0,0,0,598.8,18511.5,0.1,0,0,5605.6,3.3,12,1269
"496",495,0,0,0.4,0,1.1,1.2,0,0,13.2,0.1,0,1.1,0,0,0.6,0.3,62,1.1,0,0,99.9,0,0,9.9,0,0,0.1,23.2,1983.9,0,0,0,653.1,0,0.1,82.4,0,0,0,560.8,18159.3,0,0,0,5413.4,3.2,10.5,1197.4
"497",496,0,0,0.2,0,1.2,1.4,0,0,13.6,0.1,0,1.1,0,0,0.4,0.4,57.8,0.9,0,0,94.2,0,0,8.7,0,0,0.1,21.7,1902.8,0,0,0,626.4,0,0.2,79.8,0,0,0,522.5,17808.9,0,0,0,5209.1,3,9.3,1125.1
"498",497,0,0,0.2,0,1.1,1.6,0,0,12.5,0.1,0,1.2,0,0,0.5,0.4,54.7,0.9,0,0,89.4,0,0,7.9,0,0,0.1,20.8,1811.7,0,0,0,603.1,0,0.2,75.2,0,0,0,489.1,17446.4,0.1,0,0,5028.7,3,9.5,1059
"499",498,0,0,0.2,0,1,1.5,0,0,11.8,0.1,0,1.1,0,0,0.4,0.4,52.3,0.8,0,0,84.5,0,0,7.3,0,0,0.1,19.2,1742.7,0,0,0,572.3,0,0.2,70.6,0,0,0,460.4,17074.3,0.2,0,0,4848.6,2.8,8.2,998.1
"500",499,0,0,0.2,0,1,1.4,0,0,11.3,0.1,0,0.9,0,0,0.3,0.2,49.5,0.8,0,0,81.5,0,0,6.7,0,0,0.1,17,1666.6,0,0,0,546.9,0,0.2,66.5,0,0,0,432.6,16706.8,0.2,0,0,4664.5,2.4,7.4,945.1
"501",500,0,0,0.1,0,0.9,1.4,0,0,10.9,0.1,0,0.8,0,0,0.3,0.2,47.3,0.8,0,0,76.2,0,0,6.3,0,0,0.1,16.2,1595.9,0,0,0,525.7,0,0.1,64.1,0,0,0,404.2,16345.2,0.3,0,0,4495.3,2,6.8,886.8
"502",501,0,0,0.1,0,0.6,1.4,0,0,10.4,0.1,0,0.8,0,0,0.2,0.2,42.7,0.7,0,0,72.9,0,0,5.6,0,0,0.2,14.3,1539.4,0,0,0,500.7,0,0.1,60.9,0,0,0,378.5,16015,0.4,0,0,4319.7,1.6,6.2,837.8
"503",502,0,0,0.1,0,0.4,1.2,0,0,9.7,0,0,0.8,0,0,0.1,0.2,39,0.4,0,0,68.9,0,0,5.6,0,0,0.2,13.4,1473.6,0,0,0,483.5,0,0.2,57.9,0,0,0,354.7,15678.6,0.4,0,0,4157.9,1.3,5.8,791.1
"504",503,0,0,0.1,0,0.4,1.1,0,0,9.8,0,0,0.7,0,0,0.1,0.3,39,0.3,0,0,67.5,0,0,5,0,0,0.2,12.3,1412.5,0,0,0,462,0,0.2,53.6,0,0,0,330.5,15312,0.5,0,0,3995.4,1.4,5.2,747.9
"505",504,0,0,0.1,0,0.4,1.4,0,0,9.4,0,0,0.6,0,0,0.1,0.3,38.5,0.3,0,0,64.4,0,0,5.2,0,0,0.2,12.3,1360.9,0,0,0,439.9,0,0.2,49.7,0,0,0,307.3,14928.7,0.5,0,0,3855.1,1.2,4.9,708.5
"506",505,0,0,0.1,0,0.4,1.3,0,0,8.7,0,0,0.6,0,0,0.3,0.3,36,0.2,0,0,61.2,0,0,4.7,0,0,0.2,11.4,1307,0,0,0,419.8,0,0.2,47.8,0,0,0,287.5,14547.7,0.6,0,0,3696.2,1.2,4.3,671.8
"507",506,0,0,0.1,0,0.2,1.1,0,0,7.6,0,0,0.6,0,0,0.3,0.1,35.2,0.1,0,0,59.5,0,0,4.4,0,0,0.2,9.9,1257.1,0,0,0,399.2,0,0.1,45.6,0,0,0,269.2,14215.9,0.6,0,0,3541.3,1.1,3.9,630.5
"508",507,0,0,0.1,0,0.2,0.8,0,0,8.2,0,0,0.7,0,0,0.3,0.1,33.8,0.1,0,0,58.6,0,0,3.7,0,0,0.1,9.3,1211.9,0,0,0,378.4,0,0.1,42,0,0,0,253.4,13862,0.6,0,0,3392.5,1.1,3.2,598.8
"509",508,0,0,0.1,0,0.1,0.6,0,0,7.6,0,0,0.7,0,0,0.3,0.1,33.4,0.1,0,0,55.8,0,0,3.3,0,0,0.1,7.4,1157.5,0,0,0,364.4,0,0.1,39.5,0,0,0,235.4,13513.8,0.5,0,0,3273.2,1.1,2.4,562.3
"510",509,0,0,0.1,0,0,0.7,0,0,7.4,0,0,0.7,0,0,0.3,0.1,33.4,0.1,0,0,52.9,0,0,2.9,0,0,0.1,7.4,1112.5,0,0,0,345.2,0,0.1,38.1,0,0,0,218.5,13150.2,0.5,0,0,3148.5,1.1,2.2,529.1
"511",510,0,0,0.1,0,0,0.6,0,0,7.4,0,0,0.7,0,0,0.3,0.1,32.2,0.1,0,0,49.6,0,0,3.2,0,0,0.1,7,1069.5,0,0,0,330.7,0,0.1,35.6,0,0,0,205.7,12815.2,0.4,0,0,3030.1,1,2.1,500.5
"512",511,0,0,0.1,0,0,0.6,0,0,7.4,0,0,1,0,0,0.3,0.1,32.5,0.2,0,0,47.7,0,0,3.1,0,0,0,6.9,1020.2,0,0,0,316.1,0,0.1,33.5,0,0,0,191.4,12447.1,0.3,0,0,2918.5,0.9,1.8,468.5
"513",512,0,0,0.1,0,0,0.6,0,0,7.6,0,0,1,0,0,0.3,0.1,31.3,0.2,0,0,46.1,0,0,2.8,0,0,0,6.5,981,0,0,0,295.6,0,0,31.9,0,0,0,177.5,12092.1,0.3,0,0,2798.1,0.9,1.8,440.9
"514",513,0,0,0.1,0,0,0.7,0,0,7,0,0,1.1,0,0,0.3,0,29.6,0.1,0,0,42.7,0,0,2.5,0,0,0,6.1,946.7,0,0,0,281.5,0,0,30.3,0,0,0,166.8,11767.6,0.2,0,0,2692.1,0.7,1.8,417.4
"515",514,0,0,0.1,0,0,0.4,0,0,6.8,0,0,1.1,0,0,0.3,0,28,0.1,0,0,41.6,0,0,2.5,0,0,0,5.6,908,0,0,0,271.3,0,0,28.5,0,0,0,155.4,11457.5,0.2,0,0,2571.9,0.6,1.4,396.7
"516",515,0,0,0.1,0,0,0.7,0,0,6.6,0,0,1.1,0,0,0.1,0,27.2,0.1,0,0,40.2,0,0,2.2,0,0,0,5.5,872.9,0,0,0,259.9,0,0,25.9,0,0,0,145.9,11127.3,0.1,0,0,2473.7,0.4,1.5,372.2
"517",516,0,0,0.1,0,0,0.9,0,0,6.5,0,0,1,0,0,0.1,0.1,26.2,0.1,0,0,38.6,0,0,2.1,0,0,0,5.1,840.4,0,0,0,250,0,0,22.8,0,0,0,135.7,10790.4,0.1,0,0,2393.5,0.4,1.4,348.9
"518",517,0,0,0.1,0,0.1,1,0,0,5.7,0,0,0.8,0,0,0,0.1,24.9,0.1,0,0,35.2,0,0,2.3,0,0,0,4.9,802.8,0,0,0,241,0,0,22.5,0,0,0,127.5,10463.6,0,0,0,2307.5,0.1,1.1,325.5
"519",518,0,0,0.1,0,0.1,1,0,0,5.6,0,0,0.8,0,0,0,0.1,23.5,0.2,0,0,33.6,0,0,2.1,0,0,0,5,779.1,0,0,0,232.8,0,0,21.2,0,0,0,117,10161.5,0,0,0,2205.8,0.1,1.1,308.4
"520",519,0,0,0.1,0,0.1,1,0,0,6,0,0,0.7,0,0,0,0.1,21,0.2,0,0,32.3,0,0,2.2,0,0,0,4.3,749.9,0,0,0,223.9,0,0,20.3,0,0,0,108.5,9849.6,0,0,0,2117.3,0.1,1.2,290.3
"521",520,0,0,0.1,0,0.1,1,0,0,5.3,0,0,0.6,0,0,0.1,0.1,19.3,0.2,0,0,31.8,0,0,2,0,0,0,3.8,721.2,0,0,0,211.9,0,0,18.7,0,0,0,101.9,9537.7,0,0,0,2026.6,0.1,0.9,274.5
"522",521,0,0,0.1,0,0.2,1.1,0,0,5,0,0,0.3,0,0,0.1,0.1,17.8,0.1,0,0,30.7,0,0,2,0,0,0,3.4,698.4,0,0,0,204,0,0,18.5,0,0,0,95.6,9262,0,0,0,1949.9,0.1,0.8,258.9
"523",522,0,0,0.1,0,0.2,1.1,0,0,4.1,0,0,0.3,0,0,0.1,0.1,17.5,0.1,0,0,29.8,0,0,2.1,0,0,0,3.1,667.5,0,0,0,198.5,0,0,17.2,0,0,0,91.3,8969.9,0,0,0,1871.9,0,0.5,244.9
"524",523,0,0,0,0,0.2,0.9,0,0,3.7,0,0,0.1,0,0,0.1,0.1,16.6,0.1,0,0,29.1,0,0,2.1,0,0,0,2.7,642.5,0,0,0,189,0,0,16.8,0,0,0,87,8685.1,0,0,0,1789.4,0,0.6,230.6
"525",524,0,0,0,0,0.2,0.9,0,0,3.3,0,0,0,0,0,0.1,0.1,15.8,0.1,0,0,26.9,0,0,2.2,0,0,0,2.3,617.5,0,0,0,178.4,0,0,15.7,0,0,0,81.6,8394.6,0.1,0,0,1718.3,0,0.6,216.4
"526",525,0,0,0,0,0.2,0.8,0,0,3,0,0,0,0,0,0.1,0.1,15.1,0.2,0,0,26.2,0,0,2.3,0,0,0,2,589.6,0,0,0,169.7,0,0,15.3,0,0,0,74.9,8157.6,0.1,0,0,1649.4,0,0.5,205.8
"527",526,0,0,0,0,0.3,0.5,0,0,3.4,0,0,0,0,0,0.1,0,13.6,0.2,0,0,24.7,0,0,2.1,0,0,0,2,564.6,0,0,0,161.7,0,0,14.4,0,0,0,70,7894.4,0.1,0,0,1580.3,0,0.4,197.5
"528",527,0,0,0,0,0.2,0.4,0,0,3.4,0,0,0,0,0,0.2,0,13.3,0.2,0,0,23.1,0,0,2,0,0,0,2.3,549,0,0,0,153.8,0,0,13.7,0,0,0,62.6,7664.5,0.1,0,0,1507,0,0.3,186.1
"529",528,0,0,0,0,0.2,0.5,0,0,3.6,0,0,0.1,0,0,0.2,0,12.4,0.2,0,0,22.3,0,0,2.1,0,0,0,2.4,519.8,0,0,0,146,0,0,12.6,0,0,0,60.6,7408.7,0.1,0,0,1450.3,0,0.3,175.8
"530",529,0,0,0,0,0.2,0.5,0,0,3,0,0,0.2,0,0,0.2,0,12.1,0.2,0,0,21.7,0,0,2.1,0,0,0,2.3,500.7,0,0,0,141,0,0,12,0,0,0,57.9,7182.8,0.1,0,0,1386.2,0,0.1,165.2
"531",530,0,0,0,0,0.2,0.6,0,0,3,0,0,0.2,0,0,0.1,0,11.6,0.2,0,0,20.9,0,0,1.8,0,0,0,2.4,480.4,0,0,0,133.6,0,0,11.4,0,0,0,54.3,6949,0.1,0,0,1330.9,0,0.2,156
