"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"272",271,0.8,39.5,353.4,8564.5,4948.2,426,2.7,19.1,3025.6,2964.9,1232.1,3694.4,0.8,18.7,115.6,683,564.2,95.3,3,8.8,360.4,50.8,14.5,385.8,0.8,15,107.5,199.6,167.9,81.2,1.5,8.9,300.1,16.6,4.2,333.8,0.8,15,107.5,199.6,167.9,81.2,1.5,8.9,300.1,16.6,4.2,333.8
"273",272,0.6,37.6,344.6,8549.8,4905.8,415.1,1.9,18.8,3061.5,3186.7,1337.5,3780.2,0.6,16.9,105,731,596.7,90.2,2.2,8.4,365.7,54.1,14.7,398.6,0.6,12.6,100.7,187.1,161.3,75.2,2.3,9.2,299.2,11.7,4.5,322.4,0.6,12.6,100.7,187.1,161.3,75.2,2.3,9.2,299.2,11.7,4.5,322.4
"274",273,0.5,33.9,336.1,8624.6,4894.1,416.4,2.8,17.8,3057.9,3419.3,1464.3,3872,0.5,17.1,108.9,781.5,617.4,85.1,2,9.9,373,65.7,18.6,402.5,0.5,15.4,89,179.3,148.6,71.9,1.6,8,289.1,13.1,4.4,309.9,0.5,15.4,89,179.3,148.6,71.9,1.6,8,289.1,13.1,4.4,309.9
"275",274,0.6,33.9,330.9,8582.9,4792.2,403.4,2.6,16.4,3093.6,3669.2,1611.9,3934.1,0.6,15.8,105.7,822.9,639.1,82.6,2.4,8.8,367.8,69.1,19.5,404.4,0.6,14.1,82.7,172.8,133.9,68.5,1.7,7.7,271.4,11.6,4.7,308.9,0.6,14.1,82.7,172.8,133.9,68.5,1.7,7.7,271.4,11.6,4.7,308.9
"276",275,0.9,28.7,309.8,8478.9,4795.8,389.1,1.3,16.6,3038.1,3925.9,1761.8,3970.2,0.9,15.2,95.5,887.1,668.7,73.6,1.9,7.1,380.2,70.8,20.9,413.7,0.9,12.1,79,161,118.9,59.3,1.3,9.2,271.4,10.9,2.6,303.8,0.9,12.1,79,161,118.9,59.3,1.3,9.2,271.4,10.9,2.6,303.8
"277",276,0.3,29.1,301.1,8440.5,4696.1,388.5,2.7,17.3,3055.5,4227.9,1931.7,4038.2,0.3,14.1,90.9,951.7,691.8,77.3,1.4,6.7,375.8,81.3,19.3,411.2,0.3,10,78.5,146.6,109.8,58.7,1.6,7.5,241.7,11.9,3.7,277.5,0.3,10,78.5,146.6,109.8,58.7,1.6,7.5,241.7,11.9,3.7,277.5
"278",277,0.9,27.3,287.1,8358.5,4656,379.1,2.6,12.3,3043.6,4512.6,2116.3,4054.8,0.9,11.6,91.1,1026.8,709.2,71.4,1,7.2,380,90.5,24.4,429.3,0.9,12.1,67.1,138,109,53.9,1.3,4.7,244.4,12.6,2.9,270.7,0.9,12.1,67.1,138,109,53.9,1.3,4.7,244.4,12.6,2.9,270.7
"279",278,0.5,24.1,275.8,8266.7,4634.8,355.7,1.9,12.9,3025.8,4759.4,2283,4103.1,0.5,12.9,86.4,1065.1,737.2,68.5,1,6.6,383.1,95.6,27.9,438.6,0.5,9.9,64.6,134.4,108.2,50.3,1.8,6,247.4,9.8,2.7,267.1,0.5,9.9,64.6,134.4,108.2,50.3,1.8,6,247.4,9.8,2.7,267.1
"280",279,0.2,23.4,266.5,8132.3,4551.9,352,1.2,12,3006.5,5044.7,2474.3,4090.6,0.2,11.8,81.8,1141.4,774.9,66,1.2,5.8,396,106.7,30,446,0.2,9,61.2,127.3,97,47.8,1,5.5,223.9,10.7,2.7,258.5,0.2,9,61.2,127.3,97,47.8,1,5.5,223.9,10.7,2.7,258.5
"281",280,0.3,23,253.1,7938.7,4495.9,336.6,1.7,9.5,2984.7,5352.4,2667.6,4133.5,0.3,9.4,77.5,1222,782.9,65.4,1.2,4.8,407.2,111.1,30.9,463.9,0.3,7.3,56.8,118.6,86.5,44.7,0.6,5.2,216.8,10.3,2.3,253.8,0.3,7.3,56.8,118.6,86.5,44.7,0.6,5.2,216.8,10.3,2.3,253.8
